143,ARMK,-2.18%,-8.18%,-8.77%,-9.59%,8.90%,-8.52%,2.91%,2.87%,1.29,2.05M,1.01,34.13,-0.09%,"2,069,138"
144,AROC,5.87%,5.46%,13.28%,30.24%,37.54%,9.36%,2.41%,4.01%,1.12,1.41M,0.78,27.22,-0.33%,"1,102,746"
145,ARQT,7.81%,38.10%,21.26%,68.57%,68.07%,22.83%,5.55%,8.23%,1.25,2.31M,1.25,17.11,-1.04%,"2,881,084"
146,ARR,-3.40%,-3.09%,-1.94%,-13.19%,-6.54%,-3.71%,1.56%,1.80%,3.00,2.58M,1.06,18.16,-2.05%,"2,727,763"
147,ARRY,-8.16%,-15.84%,5.43%,-12.17%,-59.87%,-6.79%,6.22%,7.84%,1.96,5.34M,0.67,5.63,2.93%,"3,600,687"
148,ARVN,-3.44%,-51.46%,-54.40%,-68.28%,-81.25%,-57.59%,5.21%,9.01%,1.50,1.71M,1.58,8.13,-5.57%,"2,700,299"
149,ARWR,-2.42%,-21.90%,-24.46%,-29.18%,-47.82%,-21.65%,4.89%,5.89%,1.71,1.88M,0.85,14.73,-4.97%,"1,604,287"
150,AS,1.77%,0.70%,4.73%,90.22%,82.16%,3.00%,3.65%,5.68%,1.61,3.25M,0.71,28.80,-2.27%,"2,299,698"
151,ASAN,9.99%,-22.25%,-31.11%,29.28%,-1.15%,-23.98%,4.92%,6.20%,2.67,3.50M,0.70,15.41,2.19%,"2,450,772"
152,ASB,2.94%,-4.39%,-2.53%,6.50%,9.95%,-3.35%,2.38%,2.91%,2.89,1.60M,0.70,23.10,-0.43%,"1,122,250"
153,ASC,-1.87%,-1.96%,-11.51%,-42.88%,-40.22%,-17.78%,3.10%,3.83%,1.80,747.64K,0.76,9.99,-1.58%,"566,782"
154,ASH,1.07%,-12.13%,-20.88%,-34.80%,-40.77%,-20.33%,2.33%,2.87%,1.73,719.42K,0.99,56.93,-0.56%,"710,881"
155,ASML,-0.60%,-1.25%,2.32%,-8.62%,-26.65%,4.86%,1.61%,2.68%,1.62,1.67M,0.74,726.74,-0.15%,"1,242,894"
156,ASO,7.85%,-1.07%,-10.00%,-17.09%,-22.35%,-13.04%,4.01%,4.36%,2.10,1.67M,1.24,50.03,0.52%,"2,066,339"
157,ASPI,10.71%,3.88%,4.60%,59.09%,-5.41%,0.44%,8.15%,10.46%,1.00,1.88M,0.53,4.55,2.71%,"990,312"
158,ASPN,1.56%,-7.98%,-40.37%,-73.96%,-55.40%,-39.81%,5.54%,5.89%,1.33,1.94M,0.92,7.15,1.13%,"1,779,736"
159,ASTS,8.76%,-0.07%,24.13%,7.74%,926.98%,35.31%,7.64%,11.64%,1.17,11.86M,0.44,28.55,-2.56%,"5,187,832"
160,ASX,0.10%,-8.10%,-1.51%,-1.21%,-14.01%,-3.08%,1.70%,2.87%,-,10.01M,0.62,9.76,-1.21%,"6,236,701"
161,ATAT,-6.34%,-2.66%,6.00%,36.48%,51.70%,7.70%,5.71%,4.94%,1.00,1.08M,1.85,28.96,-4.23%,"1,999,166"
162,ATEC,10.49%,-4.09%,16.61%,71.14%,-24.84%,12.42%,5.93%,7.50%,1.25,2.01M,0.60,10.32,-1.62%,"1,206,248"
163,ATEN,2.24%,-11.66%,-3.21%,27.03%,29.06%,-3.21%,2.42%,3.63%,2.00,1.04M,1.23,17.81,1.89%,"1,284,850"
164,ATHM,-9.85%,-2.93%,6.79%,-1.03%,4.82%,7.21%,3.28%,3.90%,2.50,526.34K,1.07,27.82,-1.80%,"564,387"
165,ATI,7.05%,-5.09%,0.02%,-15.04%,11.12%,-1.45%,2.94%,4.15%,1.62,2.03M,0.85,54.24,0.09%,"1,720,890"
166,ATKR,-1.29%,-0.40%,-22.39%,-26.22%,-65.53%,-23.07%,2.98%,3.97%,2.17,720.91K,0.98,64.20,2.13%,"704,982"
167,ATMU,3.14%,0.52%,-0.98%,3.36%,34.50%,-1.99%,2.86%,3.56%,1.57,785.86K,0.66,38.40,0.50%,"520,125"
168,ATO,-1.47%,-1.26%,7.52%,8.63%,26.97%,6.51%,1.65%,1.78%,2.20,885.88K,0.99,148.34,-0.87%,"875,833"
169,ATOM,-18.39%,-13.93%,-40.70%,86.97%,-24.69%,-57.93%,6.47%,9.05%,1.00,884.02K,1.65,4.88,-15.42%,"1,462,165"
170,ATRC,2.71%,-11.07%,15.97%,20.09%,17.22%,14.04%,4.00%,4.25%,1.00,582.50K,0.98,34.85,-0.68%,"572,908"
171,ATYR,-9.82%,-8.88%,10.79%,91.76%,72.77%,-3.59%,5.98%,10.49%,1.00,1.28M,0.98,3.49,-5.68%,"1,255,247"
172,AU,4.18%,11.77%,53.14%,27.08%,68.34%,54.33%,2.59%,3.26%,1.91,2.48M,0.72,35.62,2.18%,"1,790,824"
173,AUB,-1.01%,-8.02%,-12.95%,-16.24%,-7.76%,-14.63%,2.25%,2.51%,1.60,999.32K,1.36,32.34,-1.76%,"1,359,385"
174,AUPH,5.35%,7.70%,-4.09%,20.42%,73.05%,-3.45%,2.41%,4.53%,1.50,1.44M,0.79,8.67,1.64%,"1,136,889"
175,AUR,12.82%,11.70%,9.05%,56.60%,227.62%,24.29%,6.68%,7.95%,2.14,14.81M,1.02,7.83,2.49%,"15,168,234"
176,AVA,-0.18%,3.66%,10.57%,3.50%,17.31%,8.24%,1.49%,1.92%,2.80,674.21K,1.24,39.65,-0.15%,"832,983"
